set,series,number,name,rarity,types,hp,image_small,is_ex,popularity,tcgplayer_price,cardmarket_price_eur,price,predicted_price,residual_log,verdict,confident,pull_cost,pull_score,pct_change_7d,pct_change_30d
Battle Styles,Sword & Shield,76,Mienfoo,Common,Fighting,60.0,https://images.pokemontcg.io/swsh5/76.png,0,3.0,0.08,0.05,0.08,0.15,-0.62,UNDERVALUED,True,,,0.0,
Base Set 2,Base,19,Wigglytuff,Rare Holo,Colorless,80.0,https://images.pokemontcg.io/base4/19.png,0,3.0,23.48,11.58,23.48,43.46,-0.62,UNDERVALUED,True,,,0.2,
Sun & Moon,Sun & Moon,71,Gigalith,Rare Holo,Fighting,160.0,https://images.pokemontcg.io/sm1/71.png,0,3.0,0.43,0.47,0.43,0.8,-0.62,UNDERVALUED,True,,,-2.3,
Flashfire,XY,26,Walrein,Rare,Water,150.0,https://images.pokemontcg.io/xy2/26.png,0,3.0,0.49,0.47,0.49,0.91,-0.62,UNDERVALUED,True,,,0.0,
Neo Revelation,Neo,53,Slugma,Common,Fire,50.0,https://images.pokemontcg.io/neo3/53.png,0,3.0,0.66,1.02,0.66,1.22,-0.62,UNDERVALUED,True,,,3.1,
BREAKthrough,XY,139,Glalie Spirit Link,Uncommon,,0.0,https://images.pokemontcg.io/xy8/139.png,0,3.0,0.28,0.18,0.28,0.52,-0.62,UNDERVALUED,True,,,-3.4,
Legends Awakened,Diamond & Pearl,68,Persian,Uncommon,Colorless,80.0,https://images.pokemontcg.io/dp6/68.png,0,3.0,0.65,0.61,0.65,1.2,-0.61,UNDERVALUED,True,,,0.0,
Nintendo Black Star Promos,NP,15,Latios,Promo,Colorless,80.0,https://images.pokemontcg.io/np/15.png,0,3.0,28.63,26.32,28.63,52.94,-0.61,UNDERVALUED,True,,,2.3,
Cosmic Eclipse,Sun & Moon,139,Steelix,Rare Holo,Metal,170.0,https://images.pokemontcg.io/sm12/139.png,0,3.0,0.74,0.98,0.74,1.37,-0.61,UNDERVALUED,True,,,-5.1,
HS—Undaunted,HeartGold & SoulSilver,13,Forretress,Rare,Metal,80.0,https://images.pokemontcg.io/hgss3/13.png,0,3.0,0.76,0.48,0.76,1.4,-0.61,UNDERVALUED,True,,,0.0,
Phantasmal Flames,Mega Evolution,61,Mega Sharpedo ex,Double Rare,Darkness,330.0,https://images.pokemontcg.io/me2/61.png,1,3.0,0.63,,0.63,1.16,-0.61,UNDERVALUED,True,,,-33.0,
White Flare,Scarlet & Violet,153,Watchog,Illustration Rare,Colorless,90.0,https://images.pokemontcg.io/rsv10pt5/153.png,0,3.0,9.6,4.73,9.6,17.73,-0.61,UNDERVALUED,True,,,2.9,
Deoxys,EX,60,Electrike,Common,Lightning,50.0,https://images.pokemontcg.io/ex8/60.png,0,3.0,0.46,0.23,0.46,0.85,-0.61,UNDERVALUED,True,,,-4.2,
Unbroken Bonds,Sun & Moon,115,Krokorok,Uncommon,Darkness,90.0,https://images.pokemontcg.io/sm10/115.png,0,3.0,0.18,0.14,0.18,0.33,-0.61,UNDERVALUED,True,,,5.9,
Detective Pikachu,Sun & Moon,3,Morelull,Common,Grass,50.0,https://images.pokemontcg.io/det1/3.png,0,3.0,0.41,0.2,0.41,0.76,-0.61,UNDERVALUED,True,,,0.0,
Silver Tempest,Sword & Shield,146,Archen,Uncommon,Colorless,80.0,https://images.pokemontcg.io/swsh12/146.png,0,3.0,0.05,0.03,0.05,0.09,-0.61,UNDERVALUED,True,,,-44.4,
Boundaries Crossed,Black & White,120,Lillipup,Common,Colorless,60.0,https://images.pokemontcg.io/bw7/120.png,0,3.0,0.3,0.09,0.3,0.55,-0.61,UNDERVALUED,True,,,0.0,
Hidden Fates Shiny Vault,Sun & Moon,SV90,Shrine of Punishment,Rare Secret,,0.0,https://images.pokemontcg.io/sma/SV90.png,0,3.0,6.06,10.24,6.06,11.18,-0.61,UNDERVALUED,True,,,0.2,
Roaring Skies,XY,81,Unfezant,Rare,Colorless,140.0,https://images.pokemontcg.io/xy6/81.png,0,3.0,0.51,0.73,0.51,0.94,-0.61,UNDERVALUED,True,,,-1.9,
XY,XY,1,Venusaur-EX,Rare Holo EX,Grass,180.0,https://images.pokemontcg.io/xy1/1.png,0,3.0,6.89,4.59,6.89,12.71,-0.61,UNDERVALUED,True,,,1.3,
Skyridge,E-Card,58,Girafarig,Common,Psychic,60.0,https://images.pokemontcg.io/ecard3/58.png,0,3.0,13.13,3.16,13.13,24.22,-0.61,UNDERVALUED,True,,,1.8,
POP Series 4,POP,16,Wobbuffet,Common,Psychic,80.0,https://images.pokemontcg.io/pop4/16.png,0,3.0,9.44,2.2,9.44,17.41,-0.61,UNDERVALUED,True,,,24.4,
Crystal Guardians,EX,44,Aron,Common,Metal,50.0,https://images.pokemontcg.io/ex14/44.png,0,3.0,0.88,0.57,0.88,1.62,-0.61,UNDERVALUED,True,,,1.1,
Astral Radiance,Sword & Shield,174,Hisuian Sneasler V,Rare Ultra,Darkness,190.0,https://images.pokemontcg.io/swsh10/174.png,0,3.0,4.67,4.39,4.67,8.61,-0.61,UNDERVALUED,True,,,3.5,
Next Destinies,Black & White,65,Hippopotas,Common,Fighting,90.0,https://images.pokemontcg.io/bw4/65.png,0,3.0,0.19,0.19,0.19,0.35,-0.61,UNDERVALUED,True,,,0.0,
Dragon Vault,Black & White,12,Axew,Rare Holo,Dragon,40.0,https://images.pokemontcg.io/dv1/12.png,0,3.0,2.18,1.73,2.18,4.02,-0.61,UNDERVALUED,True,,,4.8,
BREAKpoint,XY,59,Meowstic,Rare,Psychic,90.0,https://images.pokemontcg.io/xy9/59.png,0,3.0,0.24,0.28,0.24,0.44,-0.61,UNDERVALUED,True,,,-7.7,
Gym Heroes,Gym,19,The Rocket's Trap,Rare Holo,,0.0,https://images.pokemontcg.io/gym1/19.png,0,3.0,50.21,39.58,50.21,92.49,-0.61,UNDERVALUED,True,,,0.2,
Base Set 2,Base,49,Machoke,Uncommon,Fighting,80.0,https://images.pokemontcg.io/base4/49.png,0,3.0,1.07,0.7,1.07,1.97,-0.61,UNDERVALUED,True,,,-2.7,
Pokémon Rumble,Other,4,Heatran,Unknown,Fire,110.0,https://images.pokemontcg.io/ru1/4.png,0,3.0,109.73,25.6,109.73,202.09,-0.61,UNDERVALUED,True,,,0.0,
Team Rocket,Base,2,Dark Arbok,Rare Holo,Grass,60.0,https://images.pokemontcg.io/base5/2.png,0,3.0,65.31,12.61,65.31,120.27,-0.61,UNDERVALUED,True,,,0.7,
XY Black Star Promos,XY,XY43,Diancie-EX,Promo,Fairy,140.0,https://images.pokemontcg.io/xyp/XY43.png,0,3.0,10.99,9.2,10.99,20.24,-0.61,UNDERVALUED,True,,,2.1,
Call of Legends,HeartGold & SoulSilver,82,Professor Elm's Training Method,Uncommon,,0.0,https://images.pokemontcg.io/col1/82.png,0,3.0,0.28,0.33,0.28,0.52,-0.61,UNDERVALUED,True,,,-6.7,
Emerald,EX,17,Nosepass,Rare,Fighting,70.0,https://images.pokemontcg.io/ex9/17.png,0,3.0,1.51,1.69,1.51,2.78,-0.61,UNDERVALUED,True,,,0.0,
Dragon,EX,58,Horsea,Common,Water,50.0,https://images.pokemontcg.io/ex3/58.png,0,3.0,0.64,0.22,0.64,1.18,-0.61,UNDERVALUED,True,,,-4.5,
Dragon,EX,53,Corphish,Common,Water,50.0,https://images.pokemontcg.io/ex3/53.png,0,3.0,0.64,0.69,0.64,1.18,-0.61,UNDERVALUED,True,,,0.0,
Legend Maker,EX,89,Walrein ex,Rare Holo EX,Water,150.0,https://images.pokemontcg.io/ex12/89.png,1,3.0,76.4,39.83,76.4,140.6,-0.61,UNDERVALUED,True,,,0.0,
Dark Explorers,Black & White,85,Chatot,Uncommon,Colorless,70.0,https://images.pokemontcg.io/bw5/85.png,0,3.0,0.45,0.2,0.45,0.83,-0.61,UNDERVALUED,True,,,0.0,
Shining Fates Shiny Vault,Sword & Shield,SV089,Corviknight,Rare Shiny,Metal,170.0,https://images.pokemontcg.io/swsh45sv/SV089.png,0,3.0,1.28,1.47,1.28,2.36,-0.61,UNDERVALUED,True,,,2.4,
Shining Legends,Sun & Moon,71,Entei-GX,Rare Ultra,Fire,180.0,https://images.pokemontcg.io/sm35/71.png,0,3.0,9.7,8.04,9.7,17.85,-0.61,,False,,,2.8,
Legends Awakened,Diamond & Pearl,16,Spiritomb,Rare Holo,Psychic,70.0,https://images.pokemontcg.io/dp6/16.png,0,3.0,12.87,3.77,12.87,23.68,-0.61,UNDERVALUED,True,,,0.0,
Phantasmal Flames,Mega Evolution,121,Punk Helmet,Ultra Rare,,0.0,https://images.pokemontcg.io/me2/121.png,0,3.0,0.62,,0.62,1.14,-0.61,UNDERVALUED,True,,,-8.8,
XY Black Star Promos,XY,XY140,Lucario,Promo,Fighting,100.0,https://images.pokemontcg.io/xyp/XY140.png,0,3.0,9.59,4.03,9.59,17.63,-0.61,UNDERVALUED,True,,,-0.2,
Team Up,Sun & Moon,8,Exeggcute,Common,Grass,50.0,https://images.pokemontcg.io/sm9/8.png,0,3.0,0.18,0.09,0.18,0.33,-0.61,UNDERVALUED,True,,,0.0,
151,Scarlet & Violet,139,Omastar,Rare,Water,150.0,https://images.pokemontcg.io/sv3pt5/139.png,0,3.0,0.24,0.15,0.24,0.44,-0.61,UNDERVALUED,True,,,-27.3,
Primal Clash,XY,124,Archie's Ace in the Hole,Uncommon,,0.0,https://images.pokemontcg.io/xy5/124.png,0,3.0,0.23,0.93,0.23,0.42,-0.61,UNDERVALUED,True,,,0.0,
Sun & Moon,Sun & Moon,130,Repel,Uncommon,,0.0,https://images.pokemontcg.io/sm1/130.png,0,3.0,0.1,0.05,0.1,0.18,-0.61,UNDERVALUED,True,,,0.0,
Mysterious Treasures,Diamond & Pearl,55,Masquerain,Uncommon,Grass,70.0,https://images.pokemontcg.io/dp2/55.png,0,3.0,0.36,0.2,0.36,0.66,-0.61,UNDERVALUED,True,,,0.0,
Neo Destiny,Neo,17,Dark Ariados,Rare,Grass,60.0,https://images.pokemontcg.io/neo4/17.png,0,3.0,8.19,7.14,8.19,15.05,-0.61,UNDERVALUED,True,,,1.1,
Vivid Voltage,Sword & Shield,187,Galarian Darmanitan VMAX,Rare Rainbow,Water,320.0,https://images.pokemontcg.io/swsh4/187.png,0,3.0,6.99,9.6,6.99,12.84,-0.61,UNDERVALUED,True,,,-1.4,
Platinum,Platinum,107,Level Max,Uncommon,,0.0,https://images.pokemontcg.io/pl1/107.png,0,3.0,0.47,0.14,0.47,0.86,-0.61,UNDERVALUED,True,,,0.0,
Gym Challenge,Gym,106,Koga,Rare,,0.0,https://images.pokemontcg.io/gym2/106.png,0,3.0,4.42,7.55,4.42,8.11,-0.61,UNDERVALUED,True,,,-1.8,
Secret Wonders,Diamond & Pearl,12,Lickilicky,Rare Holo,Colorless,110.0,https://images.pokemontcg.io/dp3/12.png,0,3.0,17.57,3.8,17.57,32.25,-0.61,UNDERVALUED,True,,,0.0,
Diamond & Pearl,Diamond & Pearl,97,Seedot,Common,Grass,50.0,https://images.pokemontcg.io/dp1/97.png,0,3.0,0.38,0.27,0.38,0.7,-0.61,UNDERVALUED,True,,,0.0,
Temporal Forces,Scarlet & Violet,163,Shiftry,Illustration Rare,Grass,150.0,https://images.pokemontcg.io/sv5/163.png,0,3.0,11.48,8.23,11.48,21.07,-0.61,UNDERVALUED,True,,,-5.2,
Team Magma vs Team Aqua,EX,78,Team Aqua Hideout,Uncommon,,0.0,https://images.pokemontcg.io/ex4/78.png,0,3.0,1.03,0.54,1.03,1.89,-0.61,UNDERVALUED,True,,,1.0,
Twilight Masquerade,Scarlet & Violet,34,Darumaka,Common,Fire,80.0,https://images.pokemontcg.io/sv6/34.png,0,3.0,0.07,0.04,0.07,0.13,-0.61,UNDERVALUED,True,,,0.0,
Shining Fates,Sword & Shield,46,Yveltal,Amazing Rare,Darkness,110.0,https://images.pokemontcg.io/swsh45/46.png,0,3.0,1.18,2.01,1.18,2.16,-0.61,,False,,,-11.9,
Gym Heroes,Gym,110,Erika's Perfume,Uncommon,,0.0,https://images.pokemontcg.io/gym1/110.png,0,3.0,1.33,1.92,1.33,2.44,-0.61,UNDERVALUED,True,,,3.1,
Dragon Frontiers,EX,94,Kingdra ex δ,Rare Holo EX,Fighting,140.0,https://images.pokemontcg.io/ex15/94.png,1,3.0,125.0,36.58,125.0,229.13,-0.61,UNDERVALUED,True,,,0.0,
BW Black Star Promos,Black & White,BW88,Flareon,Promo,Fire,90.0,https://images.pokemontcg.io/bwp/BW88.png,0,8.5,63.69,10.31,63.69,116.75,-0.61,UNDERVALUED,True,,,0.7,
Dragon,EX,25,Combusken,Uncommon,Fire,70.0,https://images.pokemontcg.io/ex3/25.png,0,3.0,1.35,1.24,1.35,2.47,-0.61,UNDERVALUED,True,,,2.3,
Gym Challenge,Gym,119,Rocket's Minefield Gym,Uncommon,,0.0,https://images.pokemontcg.io/gym2/119.png,0,3.0,2.1,2.18,2.1,3.85,-0.61,UNDERVALUED,True,,,-0.9,
Platinum,Platinum,72,Diglett,Common,Fighting,50.0,https://images.pokemontcg.io/pl1/72.png,0,3.0,0.44,0.12,0.44,0.81,-0.61,UNDERVALUED,True,,,-6.4,
Deoxys,EX,100,Hariyama ex,Rare Holo EX,Fighting,110.0,https://images.pokemontcg.io/ex8/100.png,1,3.0,89.95,34.33,89.95,164.81,-0.61,UNDERVALUED,True,,,2.8,
Evolutions,XY,55,Diglett,Common,Fighting,40.0,https://images.pokemontcg.io/xy12/55.png,0,3.0,0.13,0.08,0.13,0.24,-0.61,UNDERVALUED,True,,,8.3,
Crown Zenith Galarian Gallery,Sword & Shield,GG58,Cheren's Care,Rare Ultra,,0.0,https://images.pokemontcg.io/swsh12pt5gg/GG58.png,0,3.0,3.76,4.86,3.76,6.89,-0.61,UNDERVALUED,True,,,-7.8,
Unified Minds,Sun & Moon,122,Terrakion,Rare Holo,Fighting,140.0,https://images.pokemontcg.io/sm11/122.png,0,3.0,0.55,0.64,0.55,1.01,-0.61,UNDERVALUED,True,,,0.0,
Paldean Fates,Scarlet & Violet,122,Wugtrio,Shiny Rare,Water,90.0,https://images.pokemontcg.io/sv4pt5/122.png,0,3.0,3.08,2.3,3.08,5.64,-0.6,UNDERVALUED,True,,,0.3,
Furious Fists,XY,67,Scrafty,Uncommon,Darkness,90.0,https://images.pokemontcg.io/xy3/67.png,0,3.0,0.24,0.11,0.24,0.44,-0.6,UNDERVALUED,True,,,-4.0,
Team Magma vs Team Aqua,EX,59,Team Magma's Aron,Common,Fighting,50.0,https://images.pokemontcg.io/ex4/59.png,0,3.0,1.25,0.56,1.25,2.29,-0.6,UNDERVALUED,True,,,1.6,
Paldean Fates,Scarlet & Violet,101,Abomasnow,Shiny Rare,Grass,150.0,https://images.pokemontcg.io/sv4pt5/101.png,0,3.0,2.56,2.0,2.56,4.69,-0.6,UNDERVALUED,True,,,4.5,
SWSH Black Star Promos,Sword & Shield,SWSH271,Kirlia,Promo,Psychic,80.0,https://images.pokemontcg.io/swshp/SWSH271.png,0,3.0,2.19,2.09,2.19,4.01,-0.6,UNDERVALUED,True,,,1.4,
Vivid Voltage,Sword & Shield,100,Clobbopus,Common,Fighting,80.0,https://images.pokemontcg.io/swsh4/100.png,0,3.0,0.06,0.03,0.06,0.11,-0.6,UNDERVALUED,True,,,-33.3,
Rising Rivals,Platinum,54,Whiscash E4,Uncommon,Fighting,80.0,https://images.pokemontcg.io/pl2/54.png,0,3.0,0.57,0.22,0.57,1.04,-0.6,UNDERVALUED,True,,,1.8,
Team Up,Sun & Moon,48,Galvantula,Rare,Lightning,90.0,https://images.pokemontcg.io/sm9/48.png,0,3.0,0.35,0.43,0.35,0.64,-0.6,UNDERVALUED,True,,,0.0,
Scarlet & Violet,Scarlet & Violet,156,Lechonk,Common,Colorless,70.0,https://images.pokemontcg.io/sv1/156.png,0,3.0,0.07,0.03,0.07,0.13,-0.6,UNDERVALUED,True,,,-12.5,
Burning Shadows,Sun & Moon,149,Tapu Bulu-GX,Rare Rainbow,Grass,180.0,https://images.pokemontcg.io/sm3/149.png,0,3.0,11.39,7.75,11.39,20.84,-0.6,UNDERVALUED,True,,,2.1,
Crown Zenith,Sword & Shield,155,Lightning Energy,Rare Ultra,,0.0,https://images.pokemontcg.io/swsh12pt5/155.png,0,3.0,2.28,1.91,2.28,4.17,-0.6,,False,,,1.8,
Next Destinies,Black & White,72,Shiftry,Rare,Darkness,130.0,https://images.pokemontcg.io/bw4/72.png,0,3.0,0.71,0.79,0.71,1.3,-0.6,UNDERVALUED,True,,,0.0,
HS—Triumphant,HeartGold & SoulSilver,77,Spoink,Common,Psychic,50.0,https://images.pokemontcg.io/hgss4/77.png,0,3.0,0.37,0.16,0.37,0.68,-0.6,UNDERVALUED,True,,,0.0,
Platinum,Platinum,15,Shaymin,Rare Holo,Grass,80.0,https://images.pokemontcg.io/pl1/15.png,0,3.0,11.9,4.43,11.9,21.75,-0.6,UNDERVALUED,True,,,0.0,
Scarlet & Violet,Scarlet & Violet,250,Jacq,Special Illustration Rare,,0.0,https://images.pokemontcg.io/sv1/250.png,0,3.0,3.97,4.69,3.97,7.26,-0.6,UNDERVALUED,True,,,-3.6,
Scarlet & Violet,Scarlet & Violet,234,Oinkologne ex,Ultra Rare,Colorless,260.0,https://images.pokemontcg.io/sv1/234.png,1,3.0,1.26,1.62,1.26,2.3,-0.6,UNDERVALUED,True,,,-7.4,
Ancient Origins,XY,100,Trainers' Mail,Rare Secret,,0.0,https://images.pokemontcg.io/xy7/100.png,0,3.0,6.91,0.02,6.91,12.63,-0.6,,False,,,-0.7,
Legends Awakened,Diamond & Pearl,134,Snowpoint Temple,Uncommon,,0.0,https://images.pokemontcg.io/dp6/134.png,0,3.0,0.52,0.26,0.52,0.95,-0.6,UNDERVALUED,True,,,4.0,
Roaring Skies,XY,84,Healing Scarf,Uncommon,,0.0,https://images.pokemontcg.io/xy6/84.png,0,3.0,0.22,0.13,0.22,0.4,-0.6,UNDERVALUED,True,,,0.0,
Holon Phantoms,EX,14,Pidgeot δ,Rare Holo,Lightning/Metal,100.0,https://images.pokemontcg.io/ex13/14.png,0,3.0,47.9,12.28,47.9,87.5,-0.6,UNDERVALUED,True,,,0.0,
Dragon Majesty,Sun & Moon,5,Combusken,Uncommon,Fire,80.0,https://images.pokemontcg.io/sm75/5.png,0,3.0,0.27,0.15,0.27,0.49,-0.6,UNDERVALUED,True,,,0.0,
Celestial Storm,Sun & Moon,77,Medicham,Rare,Fighting,90.0,https://images.pokemontcg.io/sm7/77.png,0,3.0,0.25,0.16,0.25,0.46,-0.6,UNDERVALUED,True,,,4.2,
Sword & Shield,Sword & Shield,38,Sizzlipede,Common,Fire,70.0,https://images.pokemontcg.io/swsh1/38.png,0,3.0,0.06,0.06,0.06,0.11,-0.6,UNDERVALUED,True,,,50.0,
Sword & Shield,Sword & Shield,45,Goldeen,Common,Water,70.0,https://images.pokemontcg.io/swsh1/45.png,0,3.0,0.06,0.06,0.06,0.11,-0.6,UNDERVALUED,True,,,-14.3,
HGSS Black Star Promos,HeartGold & SoulSilver,HGSS24,Hitmonchan,Promo,Fighting,70.0,https://images.pokemontcg.io/hsp/HGSS24.png,0,3.0,22.07,,22.07,40.3,-0.6,UNDERVALUED,True,,,-1.4,
Surging Sparks,Scarlet & Violet,49,Bruxish,Uncommon,Water,110.0,https://images.pokemontcg.io/sv8/49.png,0,3.0,0.05,0.03,0.05,0.09,-0.6,UNDERVALUED,True,,,-37.5,
Roaring Skies,XY,27,Natu,Common,Psychic,50.0,https://images.pokemontcg.io/xy6/27.png,0,3.0,0.14,0.1,0.14,0.26,-0.6,UNDERVALUED,True,,,0.0,
Shining Legends,Sun & Moon,4,Shroomish,Common,Grass,60.0,https://images.pokemontcg.io/sm35/4.png,0,3.0,0.2,0.1,0.2,0.36,-0.6,UNDERVALUED,True,,,5.3,
Paldean Fates,Scarlet & Violet,77,Atticus,Uncommon,,0.0,https://images.pokemontcg.io/sv4pt5/77.png,0,3.0,0.06,0.02,0.06,0.11,-0.6,UNDERVALUED,True,,,20.0,
Flashfire,XY,102,Toxicroak-EX,Rare Ultra,Psychic,170.0,https://images.pokemontcg.io/xy2/102.png,0,3.0,24.61,11.44,24.61,44.87,-0.6,UNDERVALUED,True,,,0.0,
Majestic Dawn,Diamond & Pearl,21,Hippowdon,Rare,Fighting,100.0,https://images.pokemontcg.io/dp5/21.png,0,3.0,1.97,0.57,1.97,3.59,-0.6,UNDERVALUED,True,,,3.1,
Dark Explorers,Black & White,63,Darkrai-EX,Rare Holo EX,Darkness,180.0,https://images.pokemontcg.io/bw5/63.png,0,3.0,25.77,11.62,25.77,46.98,-0.6,UNDERVALUED,True,,,0.7,
Chilling Reign,Sword & Shield,230,Welcoming Lantern,Rare Secret,,0.0,https://images.pokemontcg.io/swsh6/230.png,0,3.0,2.55,4.25,2.55,4.65,-0.6,UNDERVALUED,True,,,2.4,
Team Up,Sun & Moon,96,Hoopa-GX,Rare Holo GX,Darkness,190.0,https://images.pokemontcg.io/sm9/96.png,0,3.0,3.64,2.62,3.64,6.64,-0.6,UNDERVALUED,True,,,0.6,
Holon Phantoms,EX,65,Exeggcute δ,Common,Fighting,50.0,https://images.pokemontcg.io/ex13/65.png,0,3.0,0.6,0.36,0.6,1.09,-0.6,UNDERVALUED,True,,,-4.8,
Plasma Storm,Black & White,88,Klink,Common,Metal,60.0,https://images.pokemontcg.io/bw8/88.png,0,3.0,0.23,0.18,0.23,0.42,-0.6,UNDERVALUED,True,,,4.5,
Plasma Storm,Black & White,42,Magnemite,Common,Lightning,60.0,https://images.pokemontcg.io/bw8/42.png,0,3.0,0.23,0.2,0.23,0.42,-0.6,UNDERVALUED,True,,,0.0,
Aquapolis,E-Card,73,Doduo,Common,Colorless,40.0,https://images.pokemontcg.io/ecard2/73.png,0,3.0,6.12,0.41,6.12,11.16,-0.6,UNDERVALUED,True,,,2.3,
Ruby & Sapphire,EX,46,Swellow,Uncommon,Colorless,70.0,https://images.pokemontcg.io/ex1/46.png,0,3.0,1.24,1.11,1.24,2.26,-0.6,UNDERVALUED,True,,,-0.8,
Secret Wonders,Diamond & Pearl,28,Golduck,Rare,Water,90.0,https://images.pokemontcg.io/dp3/28.png,0,3.0,1.02,0.96,1.02,1.86,-0.6,UNDERVALUED,True,,,5.2,
Black Bolt,Scarlet & Violet,142,Pawniard,Illustration Rare,Metal,60.0,https://images.pokemontcg.io/zsv10pt5/142.png,0,3.0,7.75,5.46,7.75,14.12,-0.6,UNDERVALUED,True,,,-3.2,
Evolutions,XY,37,Magnemite,Common,Lightning,50.0,https://images.pokemontcg.io/xy12/37.png,0,3.0,0.12,0.07,0.12,0.22,-0.6,UNDERVALUED,True,,,33.3,
Vivid Voltage,Sword & Shield,142,Tornadus,Rare Holo,Colorless,120.0,https://images.pokemontcg.io/swsh4/142.png,0,3.0,0.23,0.12,0.23,0.42,-0.6,UNDERVALUED,True,,,0.0,
BREAKthrough,XY,41,Panpour,Common,Water,60.0,https://images.pokemontcg.io/xy8/41.png,0,3.0,0.17,0.11,0.17,0.31,-0.6,UNDERVALUED,True,,,0.0,
Gym Heroes,Gym,66,Brock's Geodude,Common,Fighting,40.0,https://images.pokemontcg.io/gym1/66.png,0,3.0,0.77,1.63,0.77,1.4,-0.6,UNDERVALUED,True,,,1.3,
Furious Fists,XY,109,Battle Reporter,Rare Ultra,,0.0,https://images.pokemontcg.io/xy3/109.png,0,3.0,15.5,8.59,15.5,28.23,-0.6,UNDERVALUED,True,,,-0.1,
XY,XY,15,Scatterbug,Common,Grass,40.0,https://images.pokemontcg.io/xy1/15.png,0,3.0,0.27,0.12,0.27,0.49,-0.6,UNDERVALUED,True,,,0.0,
Base,Base,41,Seel,Uncommon,Water,60.0,https://images.pokemontcg.io/base1/41.png,0,3.0,1.31,2.28,1.31,2.38,-0.6,UNDERVALUED,True,,,-9.7,
Surging Sparks,Scarlet & Violet,64,Stunfisk,Common,Lightning,110.0,https://images.pokemontcg.io/sv8/64.png,0,3.0,0.04,0.03,0.04,0.07,-0.6,UNDERVALUED,True,,,-33.3,
Surging Sparks,Scarlet & Violet,40,Mantine,Common,Water,110.0,https://images.pokemontcg.io/sv8/40.png,0,3.0,0.04,0.03,0.04,0.07,-0.6,UNDERVALUED,True,,,-42.9,
Plasma Freeze,Black & White,96,Staravia,Uncommon,Colorless,80.0,https://images.pokemontcg.io/bw9/96.png,0,3.0,0.26,0.11,0.26,0.47,-0.6,UNDERVALUED,True,,,0.0,
Mysterious Treasures,Diamond & Pearl,110,Dusk Ball,Uncommon,,0.0,https://images.pokemontcg.io/dp2/110.png,0,3.0,0.42,0.2,0.42,0.76,-0.6,UNDERVALUED,True,,,0.0,
Ultra Prism,Sun & Moon,62,Lunala ◇,Rare Prism Star,Psychic,160.0,https://images.pokemontcg.io/sm5/62.png,0,3.0,6.21,2.88,6.21,11.3,-0.6,UNDERVALUED,True,,,4.9,
Dragon Frontiers,EX,53,Ledyba δ,Common,Metal,40.0,https://images.pokemontcg.io/ex15/53.png,0,3.0,0.72,0.28,0.72,1.31,-0.6,UNDERVALUED,True,,,0.0,
Evolving Skies,Sword & Shield,13,Trevenant V,Rare Holo V,Grass,210.0,https://images.pokemontcg.io/swsh7/13.png,0,3.0,0.92,0.68,0.92,1.67,-0.6,UNDERVALUED,True,,,-10.7,
Noble Victories,Black & White,17,Simisear,Uncommon,Fire,90.0,https://images.pokemontcg.io/bw3/17.png,0,3.0,0.32,0.39,0.32,0.58,-0.6,UNDERVALUED,True,,,0.0,
White Flare,Scarlet & Violet,68,Ferroseed,Common,Metal,70.0,https://images.pokemontcg.io/rsv10pt5/68.png,0,3.0,0.06,0.05,0.06,0.11,-0.6,UNDERVALUED,True,,,50.0,
HS—Undaunted,HeartGold & SoulSilver,49,Gligar,Common,Fighting,70.0,https://images.pokemontcg.io/hgss3/49.png,0,3.0,0.38,0.17,0.38,0.69,-0.6,UNDERVALUED,True,,,-2.6,
Arceus,Platinum,54,Bronzor,Common,Metal,60.0,https://images.pokemontcg.io/pl4/54.png,0,3.0,0.31,0.19,0.31,0.56,-0.6,UNDERVALUED,True,,,0.0,
FireRed & LeafGreen,EX,79,Shellder,Common,Water,50.0,https://images.pokemontcg.io/ex6/79.png,0,3.0,1.0,0.26,1.0,1.82,-0.6,UNDERVALUED,True,,,1.0,
Astral Radiance,Sword & Shield,189,Zisu,Rare Ultra,,0.0,https://images.pokemontcg.io/swsh10/189.png,0,3.0,1.76,2.06,1.76,3.2,-0.6,UNDERVALUED,True,,,9.3,
Shining Fates Shiny Vault,Sword & Shield,SV115,Falinks V,Rare Holo V,Fighting,160.0,https://images.pokemontcg.io/swsh45sv/SV115.png,0,3.0,1.6,2.42,1.6,2.91,-0.6,UNDERVALUED,True,,,15.1,
Chilling Reign,Sword & Shield,207,Galarian Slowking VMAX,Rare Rainbow,Darkness,320.0,https://images.pokemontcg.io/swsh6/207.png,0,3.0,12.44,8.04,12.44,22.6,-0.6,UNDERVALUED,True,,,1.3,
Paldea Evolved,Scarlet & Violet,124,Glimmet,Common,Fighting,40.0,https://images.pokemontcg.io/sv2/124.png,0,3.0,0.07,0.04,0.07,0.13,-0.6,UNDERVALUED,True,,,0.0,
Cosmic Eclipse,Sun & Moon,59,Ducklett,Common,Water,60.0,https://images.pokemontcg.io/sm12/59.png,0,3.0,0.16,0.08,0.16,0.29,-0.6,UNDERVALUED,True,,,6.7,
McDonald's Collection 2021,Other,12,Chimchar,Unknown,Fire,60.0,https://images.pokemontcg.io/mcd21/12.png,0,3.0,1.55,0.22,1.55,2.82,-0.6,UNDERVALUED,True,,,6.2,
